2006-12-12,140,594.962002975,1.8
2006-12-13,150,597.68948918,0.8
2006-12-14,140,600.422741574,0.7
2006-12-15,142.592592593,603.161227435,1.5
2006-12-16,147.407407407,605.904414041,1
2006-12-17,150,608.65176867,1.6
2006-12-18,140,611.402758601,1.5740740741
2006-12-19,140,614.15685111,1.5259259259
2006-12-20,150,616.913513477,1.5
2006-12-21,140,619.67221298,1.75
2006-12-22,165,622.432416896,2
2006-12-23,120,625.193592504,2
2006-12-24,140,627.955207082,2
2006-12-25,130,630.716727908,2.0644736842
2006-12-26,120,633.477622261,2.2
2006-12-27,145,636.237357417,2.5
2006-12-28,140,638.995400656,1
2006-12-29,145,641.751219256,0.5
2006-12-30,140,644.504280494,2.6
2006-12-31,145,647.25405165,2.05
2007-01-01,120,650,1.5
2007-01-02,140,670,2.9
2007-01-03,145,760,4.3
2007-01-04,145,680,3.7037037037
2007-01-05,145,760,2.5962962963
2007-01-06,150,680,2
2007-01-07,100,665.086317136,2.5
2007-01-08,121.053571429,650,1.5
2007-01-09,145,560,2.4
2007-01-10,148,561.970414201,2
2007-01-11,140,567.455621302,1.5
2007-01-12,145,575.816568047,2
2007-01-13,140,586.414201183,1.8
2007-01-14,140,598.609467456,1.8612068966
2007-01-15,140,611.763313609,2
2007-01-16,140,625.236686391,2.5
2007-01-17,120,638.390532544,1.8
2007-01-18,100,650.585798817,1.95
2007-01-19,150,661.183431953,2.1
2007-01-20,150,669.544378698,2
2007-01-21,120,675.029585799,2.5
2007-01-22,140,677,1.2
2007-01-23,140,670,1.099149326
2007-01-24,145,650,1.0273524408
2007-01-25,150,760,1
2007-01-26,150,560,1.5
2007-01-27,140,770,2
2007-01-28,120,738.888888889,1.5
2007-01-29,150,681.111111111,1.4
2007-01-30,140,650,1.5
2007-01-31,140,780,1.8
2007-02-01,140,779.681427365,1.6
2007-02-02,120,778.73722973,1.4
2007-02-03,140,777.1846875,1.5
2007-02-04,140,775.041081081,1.6
2007-02-05,114,772.323690878,1.2
2007-02-06,142,769.049797297,1.5
2007-02-07,140,765.236680743,1.4
2007-02-08,140,760.901621622,1.2296703297
2007-02-09,120,756.061900338,1
2007-02-10,150,750.734797297,0.6
2007-02-11,150,744.937592905,1.2
2007-02-12,140,738.687567568,1.2
2007-02-13,145,732.002001689,1.5
2007-02-14,150,724.898175676,1.2
2007-02-15,120,717.393369932,1.2
2007-02-16,150,709.504864865,1.2
2007-02-17,152,701.249940878,1.2
2007-02-18,140,692.645878378,1
2007-02-19,130,683.70995777,1
2007-02-20,140,674.459459459,2
2007-02-21,160,664.911663851,2
2007-02-22,140,655.083851351,2
2007-02-23,140,644.993302365,2
2007-02-24,130,634.657297297,0.9
2007-02-25,110,624.093116554,1.2
2007-02-26,125,613.318040541,0.8
2007-02-27,140,602.349349662,0.5
2007-02-28,135,591.204324324,1.5
2007-03-01,114.5,579.900244932,0.8
2007-03-02,150,568.454391892,1.2
2007-03-03,140,556.884045608,1.2
2007-03-04,140,545.206486486,1.2
2007-03-05,142.5,533.438994932,1.2
2007-03-06,140,521.598851351,1.4
2007-03-07,140,509.703336149,1.4
2007-03-08,150,497.76972973,1.371336554
2007-03-09,146.875,485.8153125,1.2982286635
2007-03-10,140,473.857364865,1.2
2007-03-11,120,461.91316723,0.7
2007-03-12,140,450,1.5
2007-03-13,165,370,2
2007-03-14,140,450,1.9484797297
2007-03-15,150,320,1.820945946
2007-03-16,150,450,1.6579391892
2007-03-17,155,460,1.5
2007-03-18,145,450,1.3073073073
2007-03-19,145,460,1.0980980981
2007-03-20,145,450,1
2007-03-21,140,340,1
2007-03-22,140,450,1.5
2007-03-23,145,450,1.4
2007-03-24,140,370,1
2007-03-25,120,450,1.2
2007-03-26,150,460,1.6692307692
2007-03-27,140,455,2
2007-03-28,140,450,0.7
2007-03-29,145,450,1
2007-03-30,150,470,2
2007-03-31,140,540,1.3
2007-04-01,140,470,1.5
2007-04-02,170,470,1.15
2007-04-03,140,540,0.8
2007-04-04,140,570,1.1
2007-04-05,140,460,0.7
2007-04-06,140,480,1.4
2007-04-07,140,450,1.6
2007-04-08,140,470,1
2007-04-09,150,540,1.2
2007-04-10,140,540,1
2007-04-11,150,470,2
2007-04-12,145,430,1
2007-04-13,145,540,1.5
2007-04-14,142.5,540,10
2007-04-15,140,460,1
2007-04-16,180,450,1.2
2007-04-17,140,470,1.5
2007-04-18,100,570,1.2
2007-04-19,124,640,1
2007-04-20,140,450,1.5
2007-04-21,140,450,2
2007-04-22,140,450,1.2
2007-04-23,140,450,1.2
2007-04-24,158,460,1
2007-04-25,170,540,1.2
2007-04-26,140,340,1.2
2007-04-27,170,352.740524781,1.2124521739
2007-04-28,145,385.597667638,1.2453565217
2007-04-29,145,430.524781341,1.2920347826
2007-04-30,140,479.475218659,1.3458086957
2007-05-01,178,524.402332362,1.4
2007-05-02,140,557.259475219,1.5
2007-05-03,160,570,1
2007-05-04,180,560,1.4
2007-05-05,150,560,1.2
2007-05-06,170,650,1
2007-05-07,170,460,1
2007-05-08,170,540,1.8
2007-05-09,140,470,1.2
2007-05-10,200,488.148148148,1
2007-05-11,150,521.851851852,1.8
2007-05-12,145,540,1.5
2007-05-13,140,540,1.5
2007-05-14,150,560,1.5
2007-05-15,160,540,1.5
2007-05-16,170,650,1.5
2007-05-17,180,570,1.35
2007-05-18,170,560,1.2
2007-05-19,172.5,460,1.5
2007-05-20,175,450,1
2007-05-21,157.5,570,1.5
2007-05-22,140,510,1.3
2007-05-23,140,540,1.2
2007-05-24,150,560,1.2
2007-05-25,160,650,1.5
2007-05-26,170,540,1.5
2007-05-27,145,460,1.3
2007-05-28,140,570,1.2
2007-05-29,147,430,1.7
2007-05-30,142,460,1.5
2007-05-31,150,560,1.2
2007-06-01,170,557.92,1.5
2007-06-02,147,552.96,1.8
2007-06-03,145,547.04,1.3
2007-06-04,141.9375,542.08,1.3
2007-06-05,140,540,1.8
2007-06-06,157,570,1.8
2007-06-07,155.752,540,1.65
2007-06-08,152.776,560,1.5
2007-06-09,149.224,570,1.7
2007-06-10,146.248,650,1.8
2007-06-11,145,574,2
2007-06-12,185,560,1.6
2007-06-13,185,540,1.4
2007-06-14,185,580,1.227479092
2007-06-15,185,470,1.0692951016
2007-06-16,185,580,1
2007-06-17,170,627.554347826,1.6
2007-06-18,157,650,1.8
2007-06-19,150,569.9,1.7
2007-06-20,157,560,1.6
2007-06-21,170,450,1
2007-06-22,155,450,1.9
2007-06-23,140,460,1.3
2007-06-24,145,460,1.3
2007-06-25,145,455,1
2007-06-26,180,450,0.1
2007-06-27,170.925925926,450,3
2007-06-28,154.074074074,540,1.1
2007-06-29,145,349,1.3
2007-06-30,180,460,0.95
2007-07-01,160,560,0.6
2007-07-02,140,450,0.6
2007-07-03,145,450,0.6
2007-07-04,150,470,1
2007-07-05,155.097560976,460,0.8
2007-07-06,158,460,0.6
2007-07-07,140,470,0.8
2007-07-08,140,458,0.5
2007-07-09,148,460,0.5
2007-07-10,145.925925926,478,1
