,0,1
2006-08-05,1.8739943662,713.152001094
2006-08-06,1.44474366197,706.970945979
2006-08-07,1.06849577465,702.366729486
2006-08-08,0.801498591549,699.492148523
2006-08-09,0.7,698.5
2006-08-10,1.7,946.6
2006-08-11,2.173046875,1515.1
2006-08-12,2.4,1730.29106474
2006-08-13,1.95,1829.6
2006-08-14,1.5,344.3
2006-08-15,2.15,671.369026783
2006-08-16,2.8,1029.7
2006-08-17,1.95,1066.93991509
2006-08-18,1.1,1098.5
2006-08-19,1.6,1211.09105812
2006-08-20,6.4,1298.1
2006-08-21,1.4,1179.7
2006-08-22,4.8,1125.9
2006-08-23,7.4,1046.2
2006-08-24,7.22210726351,980.3
2006-08-25,6.74543918919,1219.2
2006-08-26,6.05551097973,1154.35925926
2006-08-27,5.23783783784,1033.94074074
2006-08-28,4.37793496622,969.1
2006-08-29,3.56131756757,1031.2
2006-08-30,2.87350084459,1042.5
2006-08-31,2.4,966.3
2006-09-01,2.15015592516,1202.6
2006-09-02,2.0,1120.16423009
2006-09-03,1.9,947.8
2006-09-04,1.912890625,577.2
2006-09-05,1.946875,576.9
2006-09-06,1.994921875,348.0
2006-09-07,2.05,671.01924524
2006-09-08,2.105078125,1060.8
2006-09-09,2.153125,1176.33075476
2006-09-10,2.187109375,1225.1
2006-09-11,2.2,1103.55
2006-09-12,2.184775,982.0
2006-09-13,2.1412,1057.9
2006-09-14,2.072425,1079.4
2006-09-15,1.9816,1199.5
2006-09-16,1.871875,1168.9068198
2006-09-17,1.7464,1094.13245941
2006-09-18,1.608325,1000.68468911
2006-09-19,1.4608,914.071279208
2006-09-20,1.306975,859.8
2006-09-21,1.15,835.47670163
2006-09-22,0.993025,818.563253406
2006-09-23,0.8392,804.351454367
2006-09-24,0.691675,788.133103551
2006-09-25,0.5536,765.2
2006-09-26,0.428125,657.0
2006-09-27,0.3184,733.3
2006-09-28,0.227575,752.4
2006-09-29,0.1588,752.808575843
2006-09-30,0.115225,753.09317681
2006-10-01,0.1,753.2
2006-10-02,0.143981039198,550.4
2006-10-03,0.267943117593,509.3
2006-10-04,0.45991467639,678.2
2006-10-05,0.707924156791,708.9
2006-10-06,1.0,1012.5
2006-10-07,2.04944165907,1066.79782024
2006-10-08,3.95505925251,1089.6
2006-10-09,5.78314721969,915.1
2006-10-10,6.6,868.8
2006-10-11,6.2,797.70846722
2006-10-12,5.82667370601,752.7
2006-10-13,5.41729404837,895.8
2006-10-14,4.98694905273,875.991383812
2006-10-15,4.55072674478,833.1
2006-10-16,4.12371515016,720.3
2006-10-17,3.72100229456,730.2
2006-10-18,3.35767620363,713.2
2006-10-19,3.04882490304,757.4
2006-10-20,2.80953641846,622.3
2006-10-21,2.65489877556,391.57167345
2006-10-22,2.6,241.4
2006-10-23,5.95,333.8
2006-10-24,9.3,293.95
2006-10-25,5.8,254.1
2006-10-26,2.3,344.7
2006-10-27,2.4,754.5
2006-10-28,2.2,779.75692177
2006-10-29,5.2,789.7
2006-10-30,8.1,688.2
2006-10-31,6.74703791469,681.1
2006-11-01,4.3,715.8
2006-11-02,1.6,826.4
2006-11-03,0.7,834.7
2006-11-04,3.2,846.150557325
2006-11-05,4.4,853.2
